institution_code,ct_availability,mri_availability,ventilator_availability,ambulance_availability,institution_name,address,main_phone,emergency_phone,emergency_bed_count,emergency_operating_status,operating_room_bed_count,inpatient_bed_count,inpatient_availability,latitude,longitude
A2200005,Y,Y,Y,Y,의료법인강릉동인병원,강원특별자치도 강릉시 강릉대로419번길 42 (포남동),033-650-6113,033-650-6105,19,1,3,60,1,37.77432579,128.9071418
A2200011,Y,Y,Y,Y,강원특별자치도강릉의료원,강원특별자치도 강릉시 경강로 2007 (남문동),033-610-1200,033-610-1234,5,1,1,30,1,37.74931042,128.8887963
A2200008,Y,Y,Y,Y,강릉아산병원,강원특별자치도 강릉시 사천면 방동길 38,033-610-3114,033-610-3333,22,1,7,124,1,37.81842669,128.8577141
A2200038,Y,Y,Y,Y,근로복지공단동해병원,"강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))",033-530-3100,033-530-3119,7,1,2,83,1,37.53232312,129.105856
A2200003,Y,Y,Y,Y,의료법인동해동인병원,"강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))",033-530-0114,033-530-0129,10,1,0,44,1,37.53000681,129.1074043
A2200007,Y,Y,Y,Y,강원특별자치도삼척의료원,강원특별자치도 삼척시 오십천로 418 (남양동),033-572-1141,033-570-7431,19,1,2,33,1,37.44027923,129.1637001
A2200012,Y,Y,Y,Y,강원특별자치도속초의료원,강원특별자치도 속초시 영랑호반길 3 (영랑동),033-630-6000,033-630-6036,19,1,3,93,1,38.21622785,128.5891195
A2200046,Y,Y,Y,Y,의료법인보광의료재단속초보광병원,강원특별자치도 속초시 중앙로 11 (교동),033-639-8500,033-639-8988,8,1,4,42,1,38.19802125,128.5783866
A2200037,Y,N1,Y,Y,의료법인성심의료재단양구성심병원,강원특별자치도 양구군 양구읍 중심로 160,033-480-8803,033-480-8816,7,1,,31,1,38.10477889,127.9911973
A2200002,Y,Y,Y,Y,강원특별자치도영월의료원,강원특별자치도 영월군 영월읍 중앙1로 59-  ( ),033-370-9101,033-370-9129,8,1,2,37,1,37.1865884,128.4653053
A2200015,Y,Y,Y,Y,강원특별자치도원주의료원,"강원특별자치도 원주시 서원대로 387 (개운동, 지방공사강원도원주의료원)",033-761-6911,033-760-4701,8,1,3,69,1,37.33249603,127.948962
A2200024,Y,Y,Y,Y,의료법인성지의료재단성지병원,강원특별자치도 원주시 원일로 22 (인동),033-760-3101,033-760-3119,7,1,3,58,1,37.34529898,127.9540092
A2200001,Y,Y,Y,Y,연세대학교원주세브란스기독병원,강원특별자치도 원주시 일산로 20 (일산동),033-741-0114,033-741-1641,31,1,1,187,1,37.34795543,127.9456453
A2200048,Y,N1,Y,Y,근로복지공단정선병원,강원특별자치도 정선군 정선읍 봉양1길 145,033-560-7100,033-560-7150,6,1,,35,1,37.38292381,128.6584205
A2201730,Y,Y,Y,Y,철원병원,강원특별자치도 철원군 갈말읍 명성로 208-0,033-452-5011,033-450-3300,2,1,2,40,1,38.15033057,127.3080277
A2200009,Y,Y,Y,Y,강원대학교병원,강원특별자치도 춘천시 백령로 156 (효자동),033-258-2000,033-258-2245,17,1,9,326,1,37.87497158,127.7444857
A2200013,Y,Y,Y,Y,한림대학교춘천성심병원,강원특별자치도 춘천시 삭주로 77 (교동),033-240-5000,033-240-5219,11,1,5,98,1,37.88413581,127.7398945
A2200004,Y,Y,Y,Y,근로복지공단태백병원,강원특별자치도 태백시 보드미길 8 (장성동),033-580-3114,033-580-3119,9,1,2,82,1,37.10404229,129.004287
E2200026,Y,N1,Y,Y,평창군보건의료원,강원특별자치도 평창군 평창읍 노성로 11,033-332-4000,033-330-4812,6,1,,20,1,37.36057743,128.3890509
A2200014,Y,Y,Y,Y,홍천아산병원,강원특별자치도 홍천군 홍천읍 산림공원1길 17,033-430-5211,033-430-5119,10,1,2,3,1,37.69082165,127.8949072
E2200025,N1,N1,Y,Y,화천군보건의료원,강원특별자치도 화천군 화천읍 강변로 111 (화천군보건의료원),033-441-4000,033-440-2880,8,1,,16,1,38.10738246,127.7088834
A2200016,Y,Y,Y,Y,횡성대성병원,강원특별자치도 횡성군 횡성읍 횡성로 275,033-343-0901,033-345-1191,9,1,1,22,1,37.47845901,127.9799478
A2100042,Y,Y,Y,Y,의료법인명지의료재단명지병원,경기도 고양시 덕양구 화수로14번길 55 (화정동),031-810-5114,031-810-7119,7,1,4,153,1,37.64207169,126.8314573
A2100047,Y,Y,Y,Y,동국대학교일산불교병원,"경기도 고양시 일산동구 동국로 27 (식사동, 동국대학교일산병원)",031-1577-7000,031-961-7777,13,1,7,194,1,37.67643678,126.8055658
